DTC: 90 , AVERAGE U: 43.14
========
DTC: 90 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   89.53    56.72   19.84   55.18
  1   89.50    55.64   19.83   57.03
  2   89.71    54.14   19.80   55.57
  3   89.11    54.92   20.00   57.06
  4   89.84    54.82   19.98   54.70
  5   89.20    55.95   19.86   55.02
  6   89.81    55.33   19.98   56.47
  7   89.26    55.10   19.99   55.54
  8   89.70    57.23   19.83   58.11
  9   89.69    55.85   19.87   56.43
 10   89.28    55.48   19.92   56.53
 11   89.61    55.62   19.96   56.75
 12   89.80    55.98   19.85   57.36
 13   89.83    55.52   19.89   56.47
 14   89.88    54.33   19.93   55.43
 15   89.26    55.62   19.96   54.73
 16   89.83    55.56   19.80   55.49
 17   89.69    56.42   19.98   58.78
 18   90.00    56.29   19.81   54.48
 19   89.15    55.19   19.82   55.28
 20   89.79    56.36   19.85   56.44
 21   89.93    55.42   19.87   55.25
 22   89.96    54.64   19.88   55.08
 23   89.90    55.08   19.89   55.76
 24   90.00    54.69   19.88   55.27
 25   89.46    55.58   20.00   56.86
 26   89.56    55.76   19.88   55.42
 27   89.60    55.84   19.85   55.01
 28   89.63    57.22   19.91   55.01
 29   89.24    56.61   19.94   55.62
 30   89.85    54.42   19.89   55.87
 31   89.99    58.02   19.96   54.05
 32   89.17    55.17   19.99   55.85
 33   89.59    55.00   19.93   54.29
 34   89.24    56.07   19.88   55.94
 35   89.89    54.30   19.84   54.92
 36   89.29    56.10   19.88   57.40
 37   89.16    56.20   19.87   55.83
 38   89.43    55.86   19.80   58.36
 39   89.97    55.64   19.91   56.39
 40   89.91    55.53   19.98   56.82
 41   89.65    54.58   19.89   55.85
 42   89.27    55.38   19.83   55.22
 43   89.23    54.90   19.81   55.90
 44   89.45    54.75   19.85   54.55
 45   89.49    53.92   19.87   54.64
 46   89.19    54.89   19.92   55.93
 47   89.61    57.11   19.99   56.17
 48   89.71    54.40   19.94   53.85
 49   89.52    56.41   19.83   55.68
 50   89.72    56.01   19.96   57.02
 51   89.42    54.99   19.99   53.82
 52   89.77    55.56   20.00   54.33
 53   89.29    55.28   19.91   55.95
 54   89.49    56.75   19.82   54.82
 55   89.33    55.41   19.85   53.76
 56   89.78    56.02   19.90   58.28
 57   89.34    55.65   19.96   54.15
 58   89.36    56.29   19.94   56.91
 59   89.53    56.79   19.97   55.51
 60   89.54    54.92   19.81   57.79
 61   89.94    55.49   19.95   56.22
 62   89.96    55.61   19.87   55.33
 63   89.42    54.24   19.91   57.62
 64   89.45    56.69   19.97   56.33
 65   89.76    54.43   19.89   56.28
 66   89.27    55.33   19.92   53.92
 67   89.91    55.96   19.86   54.89
 68   89.12    54.91   19.97   54.79
 69   89.67    55.94   19.98   54.65
 70   89.22    58.59   19.88   55.19
 71   89.71    54.97   19.89   56.53
 72   89.92    55.85   19.85   56.18
 73   89.99    56.93   19.85   56.30
 74   89.82    57.27   19.93   55.15
 75   89.26    56.05   19.85   56.43
 76   89.92    56.50   19.83   57.28
 77   89.75    54.25   19.88   55.23
 78   89.48    55.54   19.95   56.77
 79   89.38    54.73   19.84   57.47
 80   89.79    55.06   19.92   56.74
 81   89.43    54.05   19.95   55.06
 82   89.84    53.90   19.88   55.03
 83   89.64    56.39   19.90   54.90
 84   89.46    56.84   19.86   54.60
 85   89.46    54.63   19.95   56.99
 86   89.70    56.69   19.95   54.33
 87   89.95    54.30   19.89   56.86
 88   89.76    54.81   19.99   57.78
 89   89.74    56.24   19.89   55.34
 90   89.94    56.65   19.83   55.41
 91   89.97    53.59   19.86   54.50
 92   89.30    57.53   19.94   56.59
 93   89.77    56.04   19.99   57.45
 94   89.37    56.22   19.85   55.75
 95   89.45    54.07   19.86   54.65
 96   89.69    56.13   19.93   57.13
 97   89.37    56.48   19.92   55.42
 98   89.74    55.39   19.91   53.50
 99   89.81    56.00   19.90   54.92
DTC: 90 , AVERAGE U: 43.14
========
DTC: 90 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   89.53    56.72   19.84   55.18
  1   89.50    55.64   19.83   57.03
  2   89.71    54.14   19.80   55.57
  3   89.11    54.92   20.00   57.06
  4   89.84    54.82   19.98   54.70
  5   89.20    55.95   19.86   55.02
  6   89.81    55.33   19.98   56.47
  7   89.26    55.10   19.99   55.54
  8   89.70    57.23   19.83   58.11
  9   89.69    55.85   19.87   56.43
 10   89.28    55.48   19.92   56.53
 11   89.61    55.62   19.96   56.75
 12   89.80    55.98   19.85   57.36
 13   89.83    55.52   19.89   56.47
 14   89.88    54.33   19.93   55.43
 15   89.26    55.62   19.96   54.73
 16   89.83    55.56   19.80   55.49
 17   89.69    56.42   19.98   58.78
 18   90.00    56.29   19.81   54.48
 19   89.15    55.19   19.82   55.28
 20   89.79    56.36   19.85   56.44
 21   89.93    55.42   19.87   55.25
 22   89.96    54.64   19.88   55.08
 23   89.90    55.08   19.89   55.76
 24   90.00    54.69   19.88   55.27
 25   89.46    55.58   20.00   56.86
 26   89.56    55.76   19.88   55.42
 27   89.60    55.84   19.85   55.01
 28   89.63    57.22   19.91   55.01
 29   89.24    56.61   19.94   55.62
 30   89.85    54.42   19.89   55.87
 31   89.99    58.02   19.96   54.05
 32   89.17    55.17   19.99   55.85
 33   89.59    55.00   19.93   54.29
 34   89.24    56.07   19.88   55.94
 35   89.89    54.30   19.84   54.92
 36   89.29    56.10   19.88   57.40
 37   89.16    56.20   19.87   55.83
 38   89.43    55.86   19.80   58.36
 39   89.97    55.64   19.91   56.39
 40   89.91    55.53   19.98   56.82
 41   89.65    54.58   19.89   55.85
 42   89.27    55.38   19.83   55.22
 43   89.23    54.90   19.81   55.90
 44   89.45    54.75   19.85   54.55
 45   89.49    53.92   19.87   54.64
 46   89.19    54.89   19.92   55.93
 47   89.61    57.11   19.99   56.17
 48   89.71    54.40   19.94   53.85
 49   89.52    56.41   19.83   55.68
 50   89.72    56.01   19.96   57.02
 51   89.42    54.99   19.99   53.82
 52   89.77    55.56   20.00   54.33
 53   89.29    55.28   19.91   55.95
 54   89.49    56.75   19.82   54.82
 55   89.33    55.41   19.85   53.76
 56   89.78    56.02   19.90   58.28
 57   89.34    55.65   19.96   54.15
 58   89.36    56.29   19.94   56.91
 59   89.53    56.79   19.97   55.51
 60   89.54    54.92   19.81   57.79
 61   89.94    55.49   19.95   56.22
 62   89.96    55.61   19.87   55.33
 63   89.42    54.24   19.91   57.62
 64   89.45    56.69   19.97   56.33
 65   89.76    54.43   19.89   56.28
 66   89.27    55.33   19.92   53.92
 67   89.91    55.96   19.86   54.89
 68   89.12    54.91   19.97   54.79
 69   89.67    55.94   19.98   54.65
 70   89.22    58.59   19.88   55.19
 71   89.71    54.97   19.89   56.53
 72   89.92    55.85   19.85   56.18
 73   89.99    56.93   19.85   56.30
 74   89.82    57.27   19.93   55.15
 75   89.26    56.05   19.85   56.43
 76   89.92    56.50   19.83   57.28
 77   89.75    54.25   19.88   55.23
 78   89.48    55.54   19.95   56.77
 79   89.38    54.73   19.84   57.47
 80   89.79    55.06   19.92   56.74
 81   89.43    54.05   19.95   55.06
 82   89.84    53.90   19.88   55.03
 83   89.64    56.39   19.90   54.90
 84   89.46    56.84   19.86   54.60
 85   89.46    54.63   19.95   56.99
 86   89.70    56.69   19.95   54.33
 87   89.95    54.30   19.89   56.86
 88   89.76    54.81   19.99   57.78
 89   89.74    56.24   19.89   55.34
 90   89.94    56.65   19.83   55.41
 91   89.97    53.59   19.86   54.50
 92   89.30    57.53   19.94   56.59
 93   89.77    56.04   19.99   57.45
 94   89.37    56.22   19.85   55.75
 95   89.45    54.07   19.86   54.65
 96   89.69    56.13   19.93   57.13
 97   89.37    56.48   19.92   55.42
 98   89.74    55.39   19.91   53.50
 99   89.81    56.00   19.90   54.92
DTC: 89 , AVERAGE U: 43.09
========
DTC: 89 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   88.43    55.91   19.89   55.40
  1   88.98    56.03   19.99   54.28
  2   88.53    53.93   19.86   54.80
  3   88.98    54.39   19.98   54.35
  4   88.23    56.18   19.82   53.98
  5   88.80    55.21   19.90   55.24
  6   88.67    54.01   19.98   55.21
  7   88.14    54.12   19.94   55.45
  8   88.35    54.54   19.84   55.95
  9   88.37    57.21   19.96   52.79
 10   88.86    53.51   19.95   55.38
 11   88.70    55.10   19.98   54.37
 12   88.63    53.44   19.97   55.25
 13   88.94    56.06   19.89   57.45
 14   88.68    53.83   19.89   55.55
 15   88.97    56.48   19.98   53.42
 16   88.87    54.81   19.95   55.29
 17   88.42    54.63   19.87   55.17
 18   88.36    54.32   19.97   54.44
 19   88.51    55.41   19.90   55.51
 20   88.80    54.90   19.86   54.32
 21   89.00    56.19   19.98   56.12
 22   88.39    56.44   19.94   55.94
 23   88.76    54.87   19.86   53.94
 24   88.51    53.49   19.91   54.27
 25   88.75    56.12   19.96   55.36
 26   88.64    56.45   19.93   54.45
 27   88.56    55.44   19.95   55.61
 28   88.81    55.60   19.99   55.87
 29   88.94    56.52   19.88   54.71
 30   88.15    55.54   19.88   54.07
 31   88.17    55.75   19.89   56.35
 32   88.69    55.62   19.98   56.19
 33   88.49    56.20   19.87   54.47
 34   88.71    56.55   19.89   56.19
 35   88.18    54.40   19.98   54.68
 36   88.14    54.44   19.80   56.10
 37   88.42    55.78   19.89   54.65
 38   88.37    55.46   19.84   55.80
 39   88.21    53.87   19.81   55.82
 40   88.52    57.29   19.94   53.24
 41   88.77    54.64   19.93   56.27
 42   88.81    55.51   19.83   54.72
 43   88.21    57.10   19.98   55.49
 44   88.53    54.82   19.90   54.62
 45   88.56    56.87   19.84   57.17
