DTC: 60 , AVERAGE U: 1.41
========
DTC: 60 , AVERAGE e: 0.84
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.45    53.54   19.92   54.33
  1   59.88    53.26   19.93   54.07
  2   59.98    52.98   19.90   53.94
  3   59.72    55.44   19.82   54.01
  4   59.94    54.97   19.82   54.84
  5   59.74    54.76   19.85   54.09
  6   59.62    54.85   19.86   53.15
  7   59.90    53.20   19.95   54.34
  8   59.82    53.65   19.93   53.73
  9   59.96    53.37   19.81   51.45
 10   59.51    53.16   19.83   53.80
 11   59.77    52.65   19.82   54.20
 12   59.50    52.54   19.91   54.71
 13   59.62    53.52   19.86   53.27
 14   59.46    53.13   19.96   54.01
 15   60.00    53.55   19.81   53.07
 16   59.70    55.95   19.97   53.86
 17   59.53    54.14   19.89   52.67
 18   59.71    55.35   19.87   53.77
 19   60.00    55.59   19.82   52.93
 20   59.55    52.81   19.99   54.05
 21   59.85    52.35   19.89   54.10
 22   59.60    53.72   19.92   52.95
 23   59.41    51.51   19.85   52.61
 24   59.90    54.02   19.84   55.06
 25   59.99    54.24   19.94   52.41
 26   59.55    53.61   19.83   53.12
 27   59.60    54.67   20.00   53.39
 28   59.45    53.29   19.99   51.62
 29   59.50    54.46   19.98   50.87
 30   59.46    53.46   19.86   52.09
 31   59.83    54.66   19.97   53.88
 32   59.52    52.43   19.82   52.05
 33   59.92    54.59   19.97   53.61
 34   59.90    53.03   19.85   53.48
 35   59.93    53.43   19.88   54.20
 36   59.79    52.33   19.97   53.47
 37   59.94    55.23   19.89   55.29
 38   59.50    53.71   19.89   51.57
 39   59.80    53.12   19.96   54.81
 40   59.57    54.00   19.94   54.41
 41   59.87    53.59   19.99   54.85
 42   59.97    52.66   19.97   53.45
 43   59.93    52.87   19.90   54.51
 44   59.96    53.69   19.96   54.53
 45   59.72    52.70   19.92   53.75
 46   59.62    53.34   19.87   54.52
 47   59.68    54.19   19.86   52.85
 48   59.94    54.43   19.98   53.80
 49   59.53    54.78   19.96   52.58
 50   59.80    54.06   19.86   51.92
 51   59.51    53.64   19.82   53.59
 52   59.98    52.59   19.83   54.16
 53   59.72    53.62   19.80   51.91
 54   59.85    52.18   19.91   54.84
 55   59.60    52.55   19.81   51.57
 56   59.76    54.50   19.94   51.88
 57   59.69    54.03   19.96   53.17
