DTC: 60 , AVERAGE U: 41.48
========
DTC: 60 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.44    40.31   19.81   38.96
  1   59.88    39.80   19.90   39.71
  2   59.54    40.09   19.91   39.83
  3   59.93    40.31   19.84   40.24
  4   59.53    39.69   19.92   38.34
  5   59.46    40.68   19.95   39.35
  6   59.86    40.30   19.97   39.28
  7   59.87    37.67   19.92   38.25
  8   59.59    38.18   19.91   37.27
  9   59.41    39.88   19.82   39.93
 10   59.61    38.89   19.87   40.48
 11   59.73    39.55   19.99   40.87
 12   59.53    40.02   19.89   39.92
 13   59.62    39.56   19.81   39.55
 14   59.43    36.74   19.82   41.75
 15   59.56    38.14   19.91   38.44
 16   59.80    39.29   19.86   37.92
 17   59.47    39.73   19.82   39.58
 18   59.49    39.91   19.97   40.56
 19   59.47    40.71   19.83   39.83
 20   59.64    40.26   19.92   40.09
 21   59.76    39.66   19.81   39.27
 22   59.87    38.73   19.98   39.61
 23   59.68    38.88   19.98   39.65
 24   59.43    38.53   19.84   39.11
 25   59.83    38.18   19.96   39.95
 26   59.66    37.16   19.91   41.11
 27   59.90    39.72   19.81   43.03
 28   59.87    36.65   19.83   39.58
 29   60.00    39.68   19.99   39.22
 30   59.66    39.73   19.87   39.49
 31   59.56    38.38   19.90   38.55
 32   59.75    39.13   19.98   38.50
 33   59.63    40.35   19.85   40.82
 34   59.74    39.74   19.84   38.54
 35   59.45    39.50   19.85   41.93
 36   59.59    39.74   19.91   39.59
 37   59.69    39.47   19.86   42.04
 38   59.49    39.38   19.99   39.29
 39   59.63    40.16   19.97   39.60
 40   59.78    38.49   19.85   41.64
 41   59.45    40.00   19.99   40.83
 42   59.68    37.85   19.82   40.05
 43   59.80    40.26   19.81   39.89
 44   59.48    38.00   19.90   39.24
 45   59.91    38.16   19.81   37.89
 46   59.83    38.75   19.89   39.60
 47   59.89    38.66   19.86   41.82
 48   59.75    39.27   20.00   38.51
 49   59.94    37.95   19.92   39.43
 50   59.60    39.05   19.90   38.84
 51   59.64    40.97   19.94   38.70
 52   59.43    38.22   19.91   39.77
 53   59.41    39.56   19.97   40.86
 54   59.55    38.42   19.88   39.97
 55   59.66    39.96   19.86   40.26
 56   59.47    40.70   19.84   40.39
 57   59.74    38.90   19.98   39.25
 58   59.60    39.21   19.98   37.67
 59   59.54    38.57   19.82   39.50
 60   59.69    39.36   19.83   39.54
 61   59.75    38.63   19.82   39.23
 62   59.53    38.57   19.85   39.23
 63   59.50    39.62   19.98   39.17
 64   59.87    39.45   19.93   38.13
 65   59.44    39.48   19.82   39.28
 66   59.89    38.73   19.98   40.92
 67   59.52    41.00   19.97   38.67
