T_w_i (initial temperature of water) = 40.00
Voltage = 220 V
-----------------------------------------------------------------------------------------
I	T_w	T_w_i - T_w	Compressor Work (kW)	Refrigerator Work (kW)	Exp COP
-----------------------------------------------------------------------------------------
1.97	39.11	 0.89		 0.30			 0.01			0.0206
1.98	37.69	 2.31		 0.31			 0.02			0.0528
2.03	37.05	 2.95		 0.31			 0.02			0.0657
2.13	35.49	 4.51		 0.33			 0.03			0.0960
2.15	34.40	 5.60		 0.33			 0.04			0.1182
1.92	33.72	 6.28		 0.30			 0.04			0.1481
2.04	32.65	 7.35		 0.31			 0.05			0.1633
2.10	32.27	 7.73		 0.32			 0.05			0.1671
1.90	31.14	 8.86		 0.29			 0.06			0.2108
2.09	29.53	10.47		 0.32			 0.07			0.2266
