Initial Water Temperature (C): 40.000
Initial R134a Temperature (C): 28.000
Number of Observations       : 40
--------------------------------
n	EXP COP	 TH COP	 ERROR
--------------------------------
0	0.0415	3.9730	0.9896
1	0.0536	3.8928	0.9862
2	0.0580	3.8150	0.9848
3	0.0979	3.7395	0.9738
4	0.1019	3.6661	0.9722
5	0.1361	3.5949	0.9621
6	0.1590	3.5257	0.9549
7	0.1882	3.4583	0.9456
8	0.2007	3.3929	0.9409
9	0.2181	3.3292	0.9345
10	0.2300	3.2672	0.9296
11	0.2904	3.2069	0.9094
12	0.2787	3.1481	0.9115
13	0.3121	3.0908	0.8990
14	0.3391	3.0351	0.8883
15	0.3820	2.9807	0.8719
16	0.3750	2.9277	0.8719
17	0.3733	2.8759	0.8702
18	0.4040	2.8255	0.8570
19	0.4654	2.7762	0.8324
20	0.4613	2.7282	0.8309
21	0.4883	2.6813	0.8179
22	0.5159	2.6354	0.8042
23	0.5771	2.5906	0.7772
24	0.5690	2.5469	0.7766
25	0.6059	2.5041	0.7580
26	0.6129	2.4623	0.7511
27	0.6476	2.4214	0.7326
28	0.6434	2.3815	0.7299
29	0.7018	2.3424	0.7004
30	0.6358	2.3041	0.7241
31	0.7590	2.2666	0.6652
32	0.8055	2.2300	0.6388
33	0.7573	2.1941	0.6549
34	0.8295	2.1590	0.6158
35	0.7805	2.1245	0.6326
36	0.7819	2.0908	0.6260
37	0.9515	2.0578	0.5376
38	0.8695	2.0254	0.5707
39	1.0298	1.9937	0.4835
