--------------------------------------------------------------------
P1	P2	T1	T2	T3	T4	T6	  V  	I
--------------------------------------------------------------------
5.00	21.00	28.00	68.00	48.00	18.00	39.26	 220	1.90
4.99	20.97	27.35	68.40	48.03	17.35	37.48	 220	1.91
4.98	20.93	26.70	68.80	48.06	16.70	37.21	 220	1.97
4.98	20.90	26.05	69.20	48.08	16.05	35.25	 220	1.99
4.97	20.87	25.40	69.60	48.11	15.40	35.98	 220	1.94
4.96	20.83	24.75	70.00	48.14	14.75	34.30	 220	2.17
4.95	20.80	24.10	70.40	48.17	14.10	33.47	 220	2.00
4.94	20.76	23.45	70.80	48.20	13.45	31.90	 220	2.04
4.94	20.73	22.80	71.20	48.22	12.80	30.42	 220	1.88
4.93	20.70	22.15	71.60	48.25	12.15	29.61	 220	1.87
4.92	20.66	21.50	72.00	48.28	11.50	28.38	 220	2.09
4.91	20.63	20.85	72.40	48.31	10.85	28.83	 220	1.93
4.90	20.60	20.20	72.80	48.34	10.20	26.83	 220	1.96
4.90	20.56	19.55	73.20	48.36	9.55	26.35	 220	1.97
4.89	20.53	18.90	73.60	48.39	8.90	24.31	 220	2.21
4.88	20.50	18.25	74.00	48.42	8.25	22.98	 220	2.10
4.87	20.46	17.60	74.40	48.45	7.60	23.19	 220	2.02
4.86	20.43	16.95	74.80	48.48	6.95	21.45	 220	1.94
4.86	20.40	16.30	75.20	48.50	6.30	20.73	 220	1.98
4.85	20.36	15.65	75.60	48.53	5.65	19.33	 220	1.87
4.84	20.33	15.00	76.00	48.56	5.00	19.85	 220	2.04
4.83	20.29	14.35	76.40	48.59	4.35	17.73	 220	2.01
4.82	20.26	13.70	76.80	48.62	3.70	16.68	 220	2.06
4.82	20.23	13.05	77.20	48.64	3.05	16.26	 220	1.97
4.81	20.19	12.40	77.60	48.67	2.40	16.24	 220	1.93
4.80	20.16	11.75	78.00	48.70	1.75	13.96	 220	1.92
4.79	20.13	11.10	78.40	48.73	1.10	13.42	 220	1.92
4.78	20.09	10.45	78.80	48.76	0.45	12.18	 220	1.87
4.78	20.06	9.80	79.20	48.78	-0.20	11.12	 220	1.98
4.77	20.03	9.15	79.60	48.81	-0.85	10.20	 220	1.97
4.76	19.99	8.50	80.00	48.84	-1.50	8.88	 220	1.87
4.75	19.96	7.85	80.40	48.87	-2.15	7.44	 220	2.00
4.74	19.92	7.20	80.80	48.90	-2.80	7.34	 220	2.04
4.74	19.89	6.55	81.20	48.92	-3.45	6.46	 220	2.10
4.73	19.86	5.90	81.60	48.95	-4.10	4.37	 220	2.02
4.72	19.82	5.25	82.00	48.98	-4.75	4.15	 220	2.10
4.71	19.79	4.60	82.40	49.01	-5.40	2.77	 220	1.95
4.70	19.76	3.95	82.80	49.04	-6.05	1.62	 220	1.88
4.70	19.72	3.30	83.20	49.06	-6.70	1.20	 220	2.03
4.69	19.69	2.65	83.60	49.09	-7.35	-0.24	 220	2.07
