Stored State Points:
state    T (deg C)      p (bar)    d (kg/m3)    h (kJ/kg)  s (kJ/kg/K)
    0       27.850        5.347       24.601      418.344        1.752
    1       28.922        5.481       25.170      419.078        1.752
    2       29.997        5.618       25.752      419.814        1.753
    3       31.075        5.759       26.349      420.552        1.754
    4       32.157        5.903       26.960      421.291        1.754
    5       33.243        6.051       27.586      422.032        1.755
    6       34.332        6.203       28.228      422.775        1.756
    7       35.425        6.358       28.885      423.520        1.756
    8       36.522        6.517       29.559      424.266        1.757
    9       37.622        6.681       30.249      425.014        1.758
   10       38.727        6.848       30.956      425.764        1.758
   11       39.835        7.020       31.681      426.515        1.759
   12       40.946        7.196       32.424      427.268        1.760
   13       42.062        7.376       33.186      428.023        1.760
   14       43.182        7.561       33.966      428.779        1.761
   15       44.306        7.750       34.766      429.537        1.762
   16       45.434        7.945       35.586      430.297        1.762
   17       46.566        8.144       36.427      431.058        1.763
   18       47.702        8.348       37.289      431.821        1.763
   19       48.843        8.557       38.173      432.585        1.764
   20       49.987        8.771       39.079      433.351        1.765
   21       51.136        8.991       40.008      434.119        1.765
   22       52.290        9.217       40.960      434.887        1.766
   23       53.448        9.448       41.937      435.658        1.767
   24       54.611        9.684       42.939      436.430        1.767
   25       55.778        9.927       43.966      437.203        1.768
   26       56.950       10.176       45.020      437.978        1.769
   27       58.126       10.431       46.101      438.755        1.769
   28       59.308       10.692       47.210      439.532        1.770
   29       60.494       10.960       48.347      440.311        1.771
   30       61.685       11.235       49.514      441.092        1.771
   31       62.881       11.516       50.711      441.874        1.772
   32       64.082       11.805       51.939      442.657        1.773
   33       65.289       12.101       53.199      443.442        1.773
   34       66.500       12.404       54.492      444.227        1.774
   35       67.717       12.715       55.819      445.015        1.775
   36       68.939       13.034       57.181      445.803        1.775
   37       70.167       13.360       58.578      446.593        1.776
   38       71.400       13.695       60.013      447.383        1.777
   39       72.639       14.038       61.485      448.175        1.777
   40       73.883       14.390       62.997      448.969        1.778
   41       75.133       14.751       64.548      449.763        1.779
   42       76.389       15.121       66.141      450.559        1.779
   43       77.651       15.499       67.776      451.355        1.780
   44       78.919       15.888       69.455      452.153        1.781
   45       80.193       16.286       71.179      452.952        1.781
   46       81.473       16.694       72.949      453.752        1.782
   47       82.759       17.113       74.767      454.552        1.782
   48       84.051       17.542       76.634      455.354        1.783
   49       85.350       17.981       78.552      456.157        1.784
   50       85.350       17.981       78.552      456.157        1.784
   51       82.152       17.981       80.240      452.320        1.773
   52       78.998       17.981       82.038      448.482        1.762
   53       75.897       17.981       83.958      444.644        1.751
   54       72.856       17.981       86.014      440.807        1.740
   55       69.888       17.981       88.222      436.969        1.729
   56       67.004       17.981       90.601      433.131        1.718
   57       64.220       17.981       93.175      429.294        1.707
   58       62.850       17.981       95.780      425.456        1.695
   59       62.850       17.981       98.351      421.618        1.684
   60       62.850       17.981      101.063      417.781        1.672
   61       62.850       17.981      103.930      413.943        1.661
   62       62.850       17.981      106.963      410.105        1.649
   63       62.850       17.981      110.179      406.268        1.638
   64       62.850       17.981      113.595      402.430        1.627
   65       62.850       17.981      117.229      398.592        1.615
   66       62.850       17.981      121.103      394.755        1.604
   67       62.850       17.981      125.241      390.917        1.592
   68       62.850       17.981      129.673      387.079        1.581
   69       62.850       17.981      134.430      383.242        1.569
   70       62.850       17.981      139.549      379.404        1.558
   71       62.850       17.981      145.074      375.566        1.547
   72       62.850       17.981      151.054      371.729        1.535
   73       62.850       17.981      157.548      367.891        1.524
   74       62.850       17.981      164.626      364.053        1.512
   75       62.850       17.981      172.369      360.216        1.501
   76       62.850       17.981      180.877      356.378        1.490
   77       62.850       17.981      190.269      352.540        1.478
   78       62.850       17.981      200.689      348.703        1.467
   79       62.850       17.981      212.317      344.865        1.455
   80       62.850       17.981      225.374      341.027        1.444
   81       62.850       17.981      240.143      337.190        1.432
   82       62.850       17.981      256.984      333.352        1.421
   83       62.850       17.981      276.365      329.514        1.410
   84       62.850       17.981      298.907      325.677        1.398
   85       62.850       17.981      325.453      321.839        1.387
   86       62.850       17.981      357.175      318.001        1.375
   87       62.850       17.981      395.747      314.164        1.364
   88       62.850       17.981      443.660      310.326        1.352
   89       62.850       17.981      504.771      306.488        1.341
   90       62.850       17.981      585.408      302.651        1.330
   91       62.850       17.981      696.707      298.813        1.318
   92       62.850       17.981      860.260      294.975        1.307
   93       62.232       17.981     1041.360      291.138        1.295
   94       59.932       17.981     1054.961      287.300        1.284
   95       57.590       17.981     1068.168      283.462        1.272
   96       55.207       17.981     1081.018      279.625        1.261
   97       52.789       17.981     1093.544      275.787        1.249
   98       50.335       17.981     1105.775      271.950        1.237
   99       47.850       17.981     1117.734      268.112        1.225
  100       47.850       17.981     1117.734      268.112        1.225
  101       47.841       17.542     1117.348      268.112        1.225
  102       47.832       17.113     1116.971      268.112        1.225
  103       47.823       16.694     1116.602      268.112        1.226
  104       47.814       16.286     1116.241      268.112        1.226
  105       47.805       15.888     1115.887      268.112        1.226
  106       47.797       15.499     1115.542      268.112        1.226
  107       47.788       15.121     1115.204      268.112        1.226
  108       47.780       14.751     1114.873      268.112        1.226
  109       47.772       14.390     1114.550      268.112        1.226
  110       47.764       14.038     1114.234      268.112        1.226
  111       47.756       13.695     1113.925      268.112        1.226
  112       47.748       13.360     1113.623      268.112        1.226
  113       47.741       13.034     1113.328      268.112        1.227
