Average(In degree C):  T1 = 76.37   T2 = 76.37    T3 = 76.38   T4 = 76.23   T5 = 71.49   T6 = 71.23   T7 = 27.09   T8 = 26.90
========
No.     V      I      T1      T2      T3      T4      T5      T6      T7      T8
  1   72.69    0.70   77.15   75.39   75.64   77.33   71.13   71.86   25.60   25.71
  2   72.72    0.69   77.51   77.49   78.07   77.12   73.24   70.54   24.97   27.63
  3   72.44    0.70   77.58   76.00   76.84   76.16   72.94   72.27   27.39   28.38
  4   72.60    0.70   77.30   78.32   76.15   76.49   72.56   70.07   27.52   26.59
  5   72.76    0.69   73.82   78.90   76.64   75.45   71.70   71.04   26.53   26.46
  6   72.28    0.69   76.91   76.08   75.46   75.31   71.36   70.00   26.80   25.02
  7   72.76    0.69   75.73   77.15   75.32   75.03   70.52   72.55   26.34   27.30
  8   72.84    0.70   76.02   78.54   77.17   76.38   71.31   71.41   26.36   26.12
  9   72.90    0.70   76.59   77.40   77.15   76.34   71.66   70.90   27.88   26.97
 10   72.33    0.70   75.42   77.27   75.41   75.06   71.73   71.71   26.92   25.39
 11   72.92    0.69   74.43   75.74   75.43   76.52   70.43   72.96   27.06   27.71
 12   72.67    0.69   77.19   74.27   75.65   75.72   70.93   71.68   27.20   26.68
 13   72.84    0.70   78.74   76.13   77.04   76.15   70.07   69.65   27.88   26.49
 14   72.50    0.70   76.48   77.05   75.11   77.84   70.71   70.21   27.13   26.27
 15   72.54    0.69   75.94   75.20   77.90   76.60   70.74   71.27   27.80   27.04
 16   72.42    0.70   75.17   75.81   76.73   75.17   72.34   70.94   27.85   27.52
 17   72.36    0.69   74.90   75.97   75.63   74.65   71.60   71.60   26.14   28.23
 18   72.34    0.70   76.24   76.70   77.46   76.81   70.84   70.22   27.49   24.88
 19   72.91    0.70   76.92   78.81   76.60   75.64   69.80   70.64   26.82   27.54
 20   72.72    0.70   77.36   75.74   74.96   76.10   70.30   71.84   27.83   25.99
 21   72.78    0.70   76.30   75.79   76.75   76.41   71.06   69.95   27.08   27.82
 22   72.34    0.69   76.61   74.92   76.18   76.57   70.69   71.05   27.61   27.82
 23   72.49    0.70   76.67   74.55   75.82   77.03   70.84   70.21   25.18   24.58
 24   72.55    0.70   76.18   76.78   76.69   75.21   70.68   71.15   27.36   26.53
 25   72.39    0.69   75.77   76.67   74.91   77.21   72.86   71.94   26.98   26.89
 26   72.51    0.70   75.39   76.29   75.29   76.33   73.23   72.54   26.55   28.15
 27   72.69    0.70   76.40   74.68   76.37   77.04   71.26   72.39   27.77   27.41
 28   72.73    0.70   75.76   76.59   76.40   77.92   73.94   70.00   25.98   27.32
 29   72.92    0.70   76.16   77.11   75.88   75.75   72.89   72.01   26.24   25.73
 30   72.52    0.70   76.95   76.77   77.43   76.29   72.57   70.43   26.94   26.72
 31   72.64    0.70   76.10   77.38   76.79   75.33   71.85   72.18   28.00   27.10
 32   72.45    0.69   75.21   77.20   77.22   76.87   70.23   72.71   26.45   25.34
